"","TWEETS"
"197","darun movie hyeche badsha the don.... 1st show dekhechi.... jeet da awesome. tmr dance jeet dar sathe heavy hyeche bar bar badsha"
"198","amr jnno 1 ta rly o pai na tmr theke achha ami ki khb khrp tai amy rly dao na bjhe"
"199","watchng rockzz ur attitude ur 1st entry ur everythng tmr r dar cemestry just mindblow"
"200","aj tmr akta special post ar jnno wait krechlm.:,(. gd.nt love u miss u"
"201","jeet dar sathe kaj kmn lagche???ekhane tmr character tar nam ki?"
"202","sir plz one reply me if u now free plz sir superb hoyeche tmr theke amra aro airokom mve gift chai plz sir"
"203","! kintu tomake kew kinbe na.kine morbe naki.!"
"204","awesome holo movie ta....puro housefull ....kolkata apon kore nilo tomake...a grand welcome wit"
"205","rathyatra &amp; eid er onek onek subeccha tomake payel,,stay blessed, stay beautiful"
"206","maharaja tomake punorai selam ..happy to you....tomar ekonistho bhakto"
"207","our pride of bengal........maharaja tomake selam u make us proud each day every day"
"208","awesome holo movie ta....puro housefull ....kolkata apon kore nilo tomake...a grand welcome with jeet da.."
"209","ayeee bol ""ami tomake bhalobasi"""
"210","hi kamon acho? tomake niya shows chi visit our website : reply dio. k mukherjee"
"211","hi, kamon acho? tomake niya shows chi visit our website : reply dio and ph no"
"212","hi, kamon acho? visit our website : tomake niya kaaj chi"
"213","i want to be a stand up comedian. i am struggling day and night to achieve my goal. my passion is tomake people laugh and happy..."
"214","tomake o eid r shubhecha railo"
"215","di tomake khub sweet lagche..."
"216","khb sorir khrp chilo go :( but ekhn onk bhalo.belated eid mubaraak tomak ! :( onkdin ktha hoina.miss kri khub"
"217","many many happy returns of the day our prince of kolkata maharaja tomak salam."
"218","ami tomak khub valobasi rittika. bole dao ki korbo. ami r parchhina.taratari dao erokom korona"
"219","tomak te bapokk lge .. u just rock the showw"
"220","nice pic dada, tumi to girls dar sweetness failed kora deba tomak havbi sweet lagche .."
"221","wow lovely place dada , sotti apurbo lagche .. satha tomak o havbi lagche"
"222","ok leave the matter ota tomak na subhor sathe katha bl6ilm. leave it."
"223","sokal diye tomak tweet e pari gud mrng o bolini...sorrryyyyy...."
"224","ami tomak saradin onek distrub kori taina???"
"225","tomak jodi ami saradin kono tweet na kori tomar amar kotha mone porbe???amar mone hoina porbe"
"226","ichche nodi tomar glimpse dekhe amar shanti holo...ebare protidin tomak dekhte chai ichche nodi te"
"227","btw tomak ichche nodi te dekhe ami khb khushi hoichi"
"228","ajk tomak dekhte pabo"
"229","kalk tomak ichche nodi te abar dekhte pabo.....khbbbbbbb excited"
"230","... tomak kobe abr dlhte pabo?? onk din dkchina.... missing u tumi khb valo theko"
"231","in te 1week dhore dkhte pacchi na tomak,kbe cmeback korcho? r wait pacchi na,loose my patience."
"232","darun teaser movie tar jnno r tmk dkhar jnno wait kore ache....."
"233","xcited vishn joey tmk abr bb te dkhbo ager mto... such a owsm news.. good morning.. hv a nyc day."
"234","akta kotha bolar chilo kichu mone koro na.tumi in e akn j pathani porcho o gulo tmk manache na.plz kichu mone koro na"
"235","ohhhhhh wooooooooow ki mistiiiiii lagche tmk barbiee dolll......thanxx fr dz luvly pic"
"236","akki ka tmk k wallah re wallah wallah song ka dp rakh :)"
"237","di tmk luk tmr attitude tmr evrythng just wow"
"238","dada kono kotha hbena tmk nye jst outstndng"
"239","bpk hot lag6 tmk...eargly waitng for nd spcly for ziscoooo...:*"
"240","amra tmk meghla r sathei dekhte chai.. new pairing plzz koro na... new journey koro but p"
"241","amra tmk meghla r sathei dekhte chai.. new pairing plzz koro na... new journey koro but pairing noi"
"242","fastest way to be a millionare s by investing in kunder film...only if u with a"
"243","uphhhhhhh dada eto dn pre tmk thle dkha glo in e dkhte plm...jdio ksto hchchlo tmk orm vbe"
"244","lukzz ta supr hot...super excited for icche nodi te kotodn por tmk dke khub bhalo lag6lo..rly happy today :*"
"245","uphhhhhhh dada eto dn pre tmk thle dkha glo in e dkhte plm...jdio ksto hchchlo tmk orm vbe dkhe tao dkhte to plm"
"246","bapok lgche tmk sweetuuu.valo kore shoot koro"
"247","khubbbbbb mistiiii lagche go tmk angel...all d best fr"
"248","sunglass ta darunnm osadharon lagche tmk angel"
"249","tmr nach ta bpk chilo str jalsha pariwr awrdzz e...spcly duet dance ws awsm..tmk bpk handsm lag6lo :*"
"250","bipod theke mukti pawar sohoj upay - bipodtarini chumu. cholche romromiye tomader theater e.. ht"
"251","suruta kotha diye korbo,thik bujte paarchi naa..jaee hok kichu purano sriti r kosto niye,tomader sokolkaar satha notun aasa k aahoban janaee"
"252","darun lagche boumoni tomadr luv u both"
"253","tmdr dustu-misti chemistry khbb vloo lgchey .... love ths juti apurba-anushka...."
"254","ar last scene a tmdr darun lgchelo.....sudhu pran khule haslm u guyzz r rockkkk"
"255","tmdr sbar actng awsm"
"256","kl jache tmdr sbaik dkhte"
"257","tmdr churantoo jishu da"
"258","uff kal tomar diloge gulo aro hasir.. r tmdr sobar kaj khub vlo.. best wishes super duper hit hok babu.."
"259","luking just awsomeeeee both tmdr 2jon j abar aksathe dekhte chaiii"
"260","khb njoy krche khbb vlo lgche tmdr sbai k"
"261","tmdr jodi just outstandinggggggggg awsomee"
"262","uffff bolchi na tmdr personl cnvo te amy tag koro na.."
"263","tmdr cnvo te amy tag koro na plz.."
"264","abar samner bochor dekha hbe shei :'( :'( tbe tmdr sbr pic dkhe onk happy &lt;3333 cake o awsome chilo &lt;3"
"265","khuuuuuuuuuuuuub miss krechi tmdr :'( amdr vsn bad luck :( ei year param da r bday ta eto sundor hyeche snlm"
"266","can't wait....tmdr sbai k 1sth a dkhbo bole visn vbey wait kore"
"267","re vai tmra nijeder modhhe jhogra koro na...tomra tohh asol jinistai lokhhon korcho na"
"268","sotti ki tomra amar samparke amon vabo..???????"
"269","tmr xprnc gulo marratok ei tomra ki marratok go,ato keu hasaye? uff seriously haste has"
"270","tmr xprnc gulo marratok ei tomra ki marratok go,ato keu hasaye? uff seriously haste haste suye porechi"
"271","ufff sudhu dialoguebaji kaaje kre dkhao dialogue na mere. tomar dada r tomra to bhoy e gele. haayre."
"272","sono actly tomra eta accept par6o na tht is the best...kathay noy kaaje kre dkhao."
"273","wait korchi kkhn asbe tomra whts ap e qstn o korechi poro plz"
"274","tomra jante aj k in e dkhabe???? i was in shock..."
"275","like er khor uthuk. . . ekdin gorbo korbe tomra. . . ."
"276","bolchhen tomra chaile teenomool o bolte pari. ami ashirbaad dilam ;)"
"277","tomra sobai amader website ektu ghure eso.. :)"
"278","survey || dear friends what you think about me ? tomra jara amar friend,,jara personally cheno or by..."
"279","ami abar kobe ki bollam.. ki baje tomra -_-"
"280","tomra o r patta dio na dekhbe politics o hawa hoye geche. kotodin baje bokbe ei ""bekar"" public? so just chillax"
"281","eshob thik hochena.. bacha bontake khepacho tomra.. ar adu di boko na tumi amio shob ugle debo kintu!"
"282","ok. but i think name ta hole bhaalo hobe. ki bolo tomra ???"
"283","hey mishtimoni good morning prem ki bujhini r dubbing kemon cholche? tomra hydrabad kobe jabe for abh"
"284","hey mishtimoni good morning prem ki bujhini r dubbing kemon cholche? tomra hydrabad kobe jabe for abhimaan ? pls update dao"
"285","ha ha ha! beautiful moment...... tomra 3jone mile ki kelo"
"286","jio jio puro kapiye diyecho tmra keep it up|"
"287","divai u looking marratok sweet go khb vlo lgchlo nd u looking hot divai tmra dujne just aswm!"
"288","dbd khub bhlo lgve..eto misti misti judges khub haschi..tmra best."
"289","tmi kalighat e pujo dyechile na param da r jnno ? &lt;3333 khb sundor dp diiii &lt;3 tmra sbai khb njy krecho sunlaam &lt;3"
"290","tmra 3 jon a ki krecho?? seta dkhar jnno visn xcited...."
"291","tui aschis naki abar pujote?"
"292","tui r boka :p"
"293","obviously,eta tui hobiona. tui a++ grade appraisal pash, c na."
"294","dhara tui pls erom bhabe potol tuilis :d"
"295","kon co er nebo bolto. amar choice lenovo. tui ki bolis?"
"296","ae mane nokol mohanayak er bangla sune jetuku bangla sikhechi setao vule jabo.... tui tham ebar ... khema de..."
"297","tor sathe kotha nei"
"298","oh. wite korbo tor jonno!"
"299","tor toh level e nei.tai ektu dkhachi.. rag korchis kno?"
"300","baapre.. tor eto pochondo one direction ke ? awesome! i appreciate that :)"
"301","mr.pakpak... only tor jonno..."
"302","bondhu chol, ball ta de rakhbo haat tor kadhe"
"303","fatle boroline laga ... level abr tor ?? jana ache"
"304","tor jonya swopno thaki amar mdhye tui.. siter rate koasha chue bhabbo nischoi bheja dine baspo hye megh nai ba..."
"305","sourav ghosh xd tor friend takeo tag kor xd"
"306","jaa ! tale tor ki hobe"
"307","sotti ! tor ovinoyer tulona hoyna !"
"308","thn tor barite o asbo,age bhage invitation nie nlm."
"309","tails, the anonymity-focused linux distribution with deep tor integration, via"
"310","bhai laddu tor jnno eta...."
"311","tor ki amar sathe prblm achhe kono ?? ami toke frnd hisebe boli. r tui sei ktha gulor kono poroa kris na! uriye dis puro. (2/3)"
"312","tor phn hariye jawar ktha bolechhilis ar olpo olpo online hotis. whatsapp ta puroi off kre rekhechhilis. (1/3)"
"313","tor yo honey ke bol. pbi ekhane"
"314","listening to tor motoi ami akta bondhu chai"
"315","i liked a video from the dope - hema the snob, tr the great &amp; bachchan jr the fail [ep"
"316","india, uk evaluating possibility of a trade pact post brexit: sitharaman: india and the uk are exploring the possibility of a free tr..."
"317","cholche...tr??"
"318","rise of the planet of the aaps"
"319","even tr je sb software lgbe ta dokan k blbi install kre dite...nhle pblm hoi."
"320","ne tui home delivery...ami tr bari giye kheye asbo"
"321","amio ei choleche sonaa .. tr sate kotodin kotha hyni ... kothy chilis .bndhu der vule gechs nki darlingg"
"322","even next yr ami o tr 7e gate dbo,destiny chaile ek 7e pri"
"323","gold set for sixth weekly gain despite dip ahead of us jobs data: gold eased on friday ahead of u.s. payrolls data but remained on tr..."
"324","watch 100+ free public domain movies on youtube now: i was going to this post talking about taking a tr..."
"325","i have completed the quest 'preparing for tr...' in the game the tribez."
"326","cag submitted its in 2016 after conducting audit of companies vodafone, reliance, idea,tata n airce"
"327",": oye ketki , what's your contact number be ? touch madhe tr raha atleast..? let me know...tu tar gayab ch zali yaar"
"328","england selector mick newell praised the unyielding of haseeb hameed and predicted a test future as lancashire held out at tr..."
"329","cftc fines barclays $560,000 for inaccurate swaps position (reuters) - the u.s. commodity futures tr..."
"330","nifty spot view-7th july 2016: well nifty cross the 8300 level and tr..."
"331","baban ata sudhui tr jonno.... &lt;3"
"332","mrinal eta tr jnno"
"333","keo voleni babu toke..."
"334","keno toke to baad diechi bandor"
"335","vicky mazumder toke chara r kouky mone porlona"
"336","tui balurghat e bose hawa kha police already track kore feleche toke tor fb a/c ebar"
"337","sudi toke chhara no shihoron happening! d city has lost its hotness!"
"338","okhor aadore toke chuye jai pata aarbar jai chhuye toke bunoghas oronyo jane sudhu sobujer mane bristi jemon jane..."
"339","abbey 6otolok toke na juto 6ure marbo re...mukj"
"340","tor kache jabo, tor sathe gaabo muche debo abhiman adore adore mon kache dakhchi toke mon sudhu..."
"341","abbey 6otolok toke na juto 6ure marbo re...mukj ta beke jabe.."
"342","toke chup kre thakte k bllo.jkhn gali di66e tora"
"343","toke chup kre thakte k bllo.jkhn gali di66e tora chup kre a6s kno"
"344","avishek toke bike ebosiye meye potate jabo , job interview te jabo emnki ar visa 6ara sara duniya ghurbo..."
"345","guess what? heard u saying bengali words.. superb adorable kii kore toke bolbo..!! pretty sure u gonna kill ;)"
"346","para tei khel. para tei movie bana. traitor. toke desh drohi movie tae cast kora uchit chilo krk er bodole"
"347","tai ??toke cute lagte dkhini toh"
"348","toke payni kintu ichhe ta akhhato....."
"349","sala pagla choda chode ke toke -_-"
"350","bujte tke hbei"
"351","kire dipak e tke beche dichhe biswas da dkh keltu marcos"
"352","i want to say,if we can't tke action gnst home grown zakir naik,then how can we ask pakistan to take action agnst hafiz saeed?"
"353","watching this match between federer vs cilic &amp; thinking same kind of match where federer down 2 set to nadal.&amp; then tke it 2 5th,though lost"
"354","gd nyt my lovly bro ..love you miss you tke cre sleep well b y e"
"355","loved ur performance.... too gd... keep rocking.. much love... tke care"
"356","amy r tke dkhache! bt ota nye tweet krchi ma toh amra! magnumopus mohenjodaro"
"357","govt warehouse rent hghr dan pvt gdwn plz luk into d matr cause its harming logistics locl gons to tke unecsa"
